name,bigtype,material,description,url
홍합탕,한식,홍합,"1. 홍합 500g은 깨끗이 씻어내고, 물에 담가 모래를 제거합니다.
2. 냄비에 홍합과 물 1L을 넣고, 중약불에서 약 10분간 끓여줍니다.
3. 홍합이 입을 벌리면 체로 걸러내어 국물은 따로 보관합니다.
4. 냄비에 다시마 육수와 준비한 국물을 붓고, 대파와 마늘로 향을 낸 후 소금으로 간을 맞춥니다.
5. 육수가 충분히 우러나면 홍합과 청양고추를 넣어준 후 약 5분 동안 한소끔 끓여줍니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/홍합탕/main.jpeg
해물누룽지탕,한식,"해물, 누룽지","1. 해산물(새우, 조개, 오징어 등) 300g은 깨끗이 씻어줍니다.
2. 냄비에 찹쌀 200g과 물 1L을 넣고 중약불에서 약 20분간 끓여 누룽지를 만듭니다.
3. 다른 팬에 식용유를 두르고 마늘을 볶은 후, 준비한 해산물을 넣고 볶아줍니다.
4. 해산물이 익으면 간장, 고춧가루, 설탕 등으로 간을 맞춥니다.
5. 해산물 볶음과 누룽지를 함께 넣고 섞어서 한소끔 더 끓입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/해물누룽지탕/main.jpeg
된장찌개,한식,된장,"1. 냄비에 물 1L를 붓고, 다시마와 멸치로 육수를 내줍니다(약 10분).
2. 육수가 충분히 나면 멸치와 다시마는 건져내고, 된장 3큰술을 넣어 풀어줍니다.
3. 두부, 양파, 대파, 애호박 등 원하는 재료를 넣고 중불에서 약 10분간 끓여줍니다.
4. 마지막으로 고추와 마늘을 넣고 한소끔 더 끓인 후, 소금과 고춧가루로 간을 맞춰 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/된장찌개/main.jpeg
차돌된장찌개,한식,"차돌박이, 된장","1. 냄비에 물 1L를 붓고, 다시마와 멸치로 육수를 내줍니다(약 10분).
2. 육수가 충분히 나면 멸치와 다시마는 건져내고, 된장 3큰술을 넣어 풀어줍니다.
3. 차돌박이 200g을 넣고 중불에서 약 10분간 끓여줍니다.
4. 두부, 양파, 대파, 애호박 등 원하는 재료를 넣고 중불에서 약 10분간 계속해서 끓여줍니다.
5. 마지막으로 고추와 마늘을 넣고 조금 더 끓인 후, 소금과 고춧가루로 간을 맞춥니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/차돌된장찌개/main.jpeg
꽃게된장찌개,한식,"꽃게, 된장","1. 꽃게 2마리는 솔로 깨끗이 닦아준 후, 가위로 다리 사이사이를 잘라줍니다.
2. 냄비에 물 1L를 붓고, 다시마와 멸치로 육수를 내줍니다(약 10분).
3. 육수가 충분히 나면 멸치와 다시마는 건져내고, 된장 3큰술을 넣어 풀어줍니다.
4. 꽃게를 넣고 중불에서 약 10분간 끓여줍니다.
5. 양파, 대파, 애호박 등 원하는 재료와 마늘을 넣고 중불에서 약 10분간 계속해서 끓여줍니다.
6. 마지막으로 고추를 넣고 조금 더 요리한 후, 소금과 고춧가루로 간을 맞춥니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/꽃게된장찌개/main.jpeg
김치찌개,한식,김치,"1. 냄비에 돼지고기 200g과 김치 500g을 넣고 중불에서 볶아줍니다.
2. 고기가 반쯤 익으면 김치국물 1컵과 물 2컵을 추가합니다.
3. 끓어오르면 중약불로 줄이고 약 20분간 끓여줍니다.
4. 양파, 대파, 통마늘 등 원하는 재료를 넣고 다시 한번 끓여줍니다.
5. 마지막으로 고추를 넣고 조금 더 요리한 후, 소금과 고춧가루로 간을 맞춥니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/김치찌개/main.jpeg
순두부찌개,한식,순두부,"1. 고추장 1큰술, 고춧가루 1큰술, 다진 마늘 1작은술을 섞어 양념장을 만듭니다.
2. 냄비에 식용유를 두르고 양념장을 볶다가 돼지고기 100g를 추가해 함께 볶습니다.
3. 양파와 애호박을 썰어 넣고 재료들이 잘 섞일 때까지 계속해서 볶습니다.
4. 물 2컵과 다시마 육수를 붓고 중약불에서 약 15분간 끓입니다.
5. 순두부를 통째로 넣은 후 부서지지 않게 주의하며 서서히 저어줍니다.
6. 대파와 청양고추를 넣은 후 소금으로 간을 맞추면 완성입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/순두부찌개/main.jpeg
부대찌개,한식,"햄, 돼지고기","1. 냄비에 물과 함께 소시지, 햄, 돼지고기 등을 넣고 중불에서 10분간 끓인다.
2. 부대찌개용 양념장(고추장, 고춧가루, 마늘 등)을 넣어 잘 섞는다.
3. 두부, 김치, 양파 등의 재료를 추가하고 약 20분간 더 끓인다.
4. 마지막으로 라면사리와 대파를 넣고 5분 정도 더 끓여 완성한다.
5. 완성된 부대찌개를 그릇에 담아낸다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/부대찌개/main.jpeg
청국장,한식,청국장,"1. 메주 200g을 물에 담가 약 2시간동안 재워 메주를 부드럽게 만들어줍니다.
2. 냄비에 물 1L를 붓고, 준비한 메주를 넣고 중불에서 약 20분간 끓여줍니다.
3. 메주가 충분히 잘 풀리면 체에 받쳐 거르면서 고루 저어 청국장을 만듭니다.
4. 청국장이 완성되면 다시 한 번 중불에서 약 10분간 끓여줍니다.
5. 마지막으로 소금으로 간을 맞추고 대파와 마늘로 맛을 낸 후 참기름을 넣어 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/청국장/main.jpeg
동태찌개,한식,동태,"1. 비에 물 1L를 붓고, 다시마와 멸치로 육수를 내줍니다(약 10분).
2. 육수가 충분히 나면 멸치와 다시마는 건져내고, 고춧가루 2큰술, 고추장 1큰술, 다진 마늘 1작은술을 넣어 풀어줍니다.
3. 동태 토막 300g을 넣고 중불에서 약 10분간 끓여줍니다.
4. 양파, 대파, 애호박 등 원하는 재료와 마늘을 넣고 중불에서 약 10분간 계속해서 끓여줍니다.
5. 마지막으로 고추를 넣고 조금 더 요리한 후, 소금과 간장으로 간을 맞춥니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/동태찌개/main.jpeg
비지찌개,한식,콩비지,"1. 돼지고기 200g를 물에 담가 약 30분간 핏물을 제거해줍니다.
2. 냄비에 물 1L를 붓고, 돼지고기와 함께 고춧가루 2큰술, 다진 마늘 1작은술을 넣어줍니다.
3. 중불에서 약 20분간 끓여 돼지고기가 익도록 합니다.
4. 콩비지를 체에 받아 찌꺼기를 제거하고, 비지육수로 만들어줍니다.
5. 비지육수와 돼지고기 육수를 섞어 넣은 후, 소금과 간장으로 간을 맞춥니다.
6. 마늘과 대파를 넣어서 한 번 더 끓인 후 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/비지찌개/main.jpeg
고추장찌개,한식,고추장,"1. 냄비에 돼지고기 200g을 넣고 중불에서 볶아줍니다.
2. 고기가 반쯤 익었을 때, 고추장 2큰술, 다진 마늘 1작은술, 고춧가루 1큰술을 추가해 잘 섞어줍니다.
3. 물 1L를 부어주고 약불에서 약 20분간 끓여줍니다.
4. 양파, 대파, 애호박 등 원하는 채소를 넣고 다시 한 번 끓여줍니다.
5. 마지막으로 소금과 간장으로 간을 맞추면 완성입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/고추장찌개/main.jpeg
짜글이찌개,한식,돼지고기,"1. 냄비에 돼지고기 200g과 물 1L를 넣고 중불에서 약 20분간 끓여 육수를 만듭니다.
2. 고추장 2큰술, 고춧가루 1큰술, 다진 마늘 1작은술을 섞어 양념장을 만듭니다.
3. 육수에 양념장을 넣고 잘 섞어줍니다.
4. 야채(대파, 양파, 애호박 등)와 순두부를 넣고 다시 한 번 끓여줍니다.
5. 마지막으로 소금과 간장으로 간을 맞추면 완성입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/짜글이찌개/main.jpeg
버섯찌개,한식,버섯,"1. 냄비에 물 800ml를 붓고 중불에서 끓여줍니다.
2. 버섯(새송이, 표고버섯 등) 200g을 깨끗이 씻어서 적당한 크기로 잘라줍니다.
3. 끓는 물에 버섯과 다진 마늘 1작은술을 넣고 약 10분간 끓여줍니다.
4. 양파와 청양고추를 채 썰어 넣고 함께 끓여줍니다.
5. 고춧가루 1큰술과 간장 1큰술을 넣어 맛을 낸 후 소금으로 간을 맞춥니다.
6. 마지막으로 참기름 몇 방울을 넣고 한 번 더 섞어주면 완성입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/버섯찌개/main.jpeg
소고기찌개,한식,소고기,"1. 냄비에 물 800ml를 붓고 중불에서 끓여줍니다.
2. 소고기(등심, 목심 등) 200g을 적당한 크기로 잘라줍니다.
3. 끓는 물에 소고기와 다진 마늘 1작은술을 넣고 약 10분간 끓여줍니다.
4. 양파와 청양고추를 채 썰어 넣고 함께 끓여줍니다.
5. 고춧가루 1큰술과 고추장 1큰술을 넣어 맛을 낸 후 소금으로 간을 맞춥니다.
6. 마지막으로 참기름 몇 방울을 넣고 한 번 더 섞어주면 완성입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/소고기찌개/main.jpeg
새우찌개,한식,새우,"1. 냄비에 물 800ml를 붓고 중불에서 끓여줍니다.
2. 신선한 새우 200g을 껍질과 내장을 제거한 후 깨끗이 씻어줍니다.
3. 끓는 물에 새우와 다진 마늘 1작은술을 넣고 약 5분간 끓여줍니다.
4. 양파와 청양고추를 채 썰어 넣고 함께 끓여줍니다.
5. 고춧가루 1큰술과 고추장 1큰술을 넣어 맛을 낸 후 소금으로 간을 맞춥니다.
6. 마지막으로 참기름 몇 방울을 넣고 한 번 더 섞어주면 완성입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/새우찌개/main.jpeg
밀폐유나베,한식,"소고기, 배추","1. 두부, 어묵, 채소(양파, 버섯 등), 해산물(새우, 조개 등)을 준비하고 적당한 크기로 자른다.
2. 나베용 냄비에 재료들을 넣는다.
3. 간장, 미림, 설탕 등으로 만든 양념장과 물을 넣어 중불에서 끓인다.
4. 재료들이 익으면 훈제 연어와 계란을 부어준 후 다시 한번 끓여 완성한다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/밀폐유나베/main.jpeg
소고기버섯전골,한식,"소고기, 버섯","1. 냄비에 물 800ml을 붓고 중불에서 끓여줍니다.
2. 소고기(등심, 목심 등) 200g을 얇게 썬 후 잘게 썰어줍니다.
3. 버섯(새송이, 표고버섯 등) 200g을 깨끗이 씻어서 적당한 크기로 잘라줍니다.
4. 끓는 물에 소고기와 버섯을 넣고 약 10분간 끓여줍니다.
5. 양파와 청양고추를 채 썰어 넣고 함께 끓여줍니다.
6. 고춧가루 1큰술과 고추장 1큰술을 넣어 맛을 낸 후 소금으로 간을 맞춥니다.
7. 마지막으로 참기름 몇 방울과 다진 마늘 1작은술을 넣고 한 번 더 섞어주면 완성입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/소고기버섯전골/main.jpeg
불고기전골,한식,소고기,"1. 냄비에 물 800ml을 붓고 중불에서 끓여줍니다.
2. 소고기(불고기용 우삼겹살 또는 등심) 200g을 얇게 썬 후 잘게 썰어줍니다.
3. 양파와 청양고추를 채 썰어 준비합니다.
4. 끓는 물에 소고기와 양파, 청양고추를 넣고 약 10분간 끓여줍니다.
5. 고춧가루 1큰술과 고추장 1큰술을 넣어 맛을 낸 후 소금으로 간을 맞춥니다.
6. 마지막으로 참기름 몇 방울과 다진 마늘 1작은술을 넣고 한 번 더 섞어주면 완성입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/불고기전골/main.jpeg
어묵전골,한식,어묵,"1. 냄비에 물 800ml을 붓고 중불에서 끓여줍니다.
2. 어묵 200g을 적당한 크기로 잘라줍니다.
3. 끓는 물에 어묵과 다진 마늘 1작은술을 넣고 약 5분간 끓여줍니다.
4. 양파와 청양고추를 채 썰어 준비합니다.
5. 어묵에 양파와 청양고추를 넣고 함께 끓여줍니다.
6. 고춧가루 1큰술과 고추장 1큰술을 넣어 맛을 낸 후 소금으로 간을 맞춥니다.
7. 마지막으로 참기름 몇 방울과 다진 마늘 1작은술을 넣고 한 번 더 섞어주면 완성입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/어묵전골/main.jpeg
만두전골,한식,만두,"1. 냄비에 물 800ml을 붓고 중불에서 끓여줍니다.
2. 만두 200g을 준비합니다 (동그랑땡 모양의 만두를 사용하는 것이 좋습니다).
3. 끓는 물에 만두를 넣고 약 5분간 끓여줍니다.
4. 양파와 청양고추를 채 썰어 준비합니다.
5. 양파와 청양고추를 넣고 함께 끓여줍니다.
6. 고춧가루 1큰술과 고추장 1큰술을 넣어 맛을 낸 후 소금으로 간을 맞춥니다.
7. 마지막으로 참기름 몇 방울과 다진 마늘 1작은술을 넣고 한 번 더 섞어주면 완성입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/만두전골/main.jpeg
두부전골,한식,두부,"1. 냄비에 물 800ml을 붓고 중불에서 끓여줍니다.
2. 두부 200g을 적당한 크기로 잘라줍니다.
3. 끓는 물에 두부를 넣고 약 5분간 끓여줍니다.
4. 양파와 청양고추를 채 썰어 준비합니다.
5. 양파와 청양고추를 넣고 함께 끓여줍니다.
6. 고춧가루 1큰술과 고추장 1큰술을 넣어 맛을 낸 후 소금으로 간을 맞춥니다.
6. 마지막으로 참기름 몇 방울과 다진 마늘 1작은술을 넣고 한 번 더 섞어주면 완성입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/두부전골/main.jpeg
버섯전골,한식,버섯,"1. 냄비에 물 800ml을 붓고 중불에서 끓여줍니다.
2. 버섯(새송이, 표고버섯 등) 200g을 깨끗이 씻어서 적당한 크기로 잘라줍니다.
3. 끓는 물에 버섯을 넣고 약 5분간 끓여줍니다.
4. 양파와 청양고추를 채 썰어 준비합니다.
5. 양파와 청양고추를 넣고 함께 끓여줍니다.
6. 고춧가루 1큰술과 고추장 1큰술을 넣어 맛을 낸 후 소금으로 간을 맞춥니다.
7. 마지막으로 참기름 몇 방울과 다진 마늘 1작은술을 넣고 한 번 더 섞어주면 완성입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/버섯전골/main.jpeg
곱창전골,한식,곱창,"1. 냄비에 물 800ml을 붓고 중불에서 끓여줍니다.
2. 곱창(소곱창 또는 대창) 200g을 적당한 크기로 잘라줍니다.
3. 끓는 물에 곱창을 넣고 약 5분간 끓여줍니다.
4. 양파와 청양고추를 채 썰어 준비합니다.
5. 양파와 청양고추를 넣고 함께 끓여줍니다.
6. 고춧가루 1큰술과 고추장 1큰술을 넣어 맛을 낸 후 소금으로 간을 맞춥니다.
7. 마지막으로 참기름 몇 방울과 다진 마늘 1작은술을 넣고 한 번 더 섞어주면 완성입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/곱창전골/main.jpeg
대창전골,한식,대창,"1. 냄비에 물 800ml을 붓고 중불에서 끓여줍니다.
2. 대창(소대창 또는 돼지대창) 200g을 적당한 크기로 잘라줍니다.
3. 끓는 물에 대창을 넣고 약 5분간 끓여줍니다.
4. 양파와 청양고추를 채 썰어 준비합니다.
5. 양파와 청양고추를 넣고 함께 끓여줍니다.
6. 고춧가루 1큰술과 고추장 1큰술을 넣어 맛을 낸 후 소금으로 간을 맞춥니다.
7. 마지막으로 참기름 몇 방울과 다진 마늘 1작은술을 넣고 한 번 더 섞어주면 완성입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/대창전골/main.jpeg
아롱사태전골,한식,소고기,"1. 냄비에 물 800ml을 붓고 중불에서 끓여줍니다.
2. 아롱사태(소아롱사태 또는 돼지아롱사태) 200g을 적당한 크기로 잘라줍니다.
3. 끓는 물에 아롱사태를 넣고 약 5분간 끓여줍니다.
4. 양파와 청양고추를 채 썰어 준비합니다.
5. 양파와 청양고추를 넣고 함께 끓여줍니다.
6. 고춧가루 1큰술과 고추장 1큰술을 넣어 맛을 낸 후 소금으로 간을 맞춥니다.
7. 마지막으로 참기름 몇 방울과 다진 마늘 1작은술을 넣고 한 번 더 섞어주면 완성입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/아롱사태전골/main.jpeg
불낙전골,한식,낙지,"1. 냄비에 물 800ml을 붓고 중불에서 끓여줍니다.
2. 불낙(소불낙 또는 돼지불낙) 200g을 적당한 크기로 잘라줍니다.
3. 끓는 물에 불낙을 넣고 약 5분간 끓여줍니다.
4. 양파와 청양고추를 채 썰어 준비합니다.
5. 양파와 청양고추를 넣고 함께 끓여줍니다.
6. 고춧가루 1큰술과 고추장 1큰술을 넣어 맛을 낸 후 소금으로 간을 맞춥니다.
7. 마지막으로 참기름 몇 방울과 다진 마늘 1작은술을 넣고 한 번 더 섞어주면 완성입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/불낙전골/main.jpeg
삼겹살,한식,돼지고기,"1. 삼겹살을 냉장고에서 미리 꺼내 실온에 맞춰둔다.
2. 그릴이나 팬을 중불에서 달군 후, 삼겹살을 올려 앞뒤로 잘 구운다.
3. 고기가 충분히 익었으면 가위나 집게로 소비하기 좋은 크기로 잘라준다.
4. 별도의 팬에 마늘과 버섯 등의 야채를 기름에 볶아 서빙한다.
5. 구운 삼겹살과 함께 볶은 야채, 상추, 쌈장 등을 준비해 같이 먹는다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/삼겹살/main.jpeg
수육,한식,돼지고기,"1. 돼지고기를 깨끗이 씻고 물기를 제거합니다.
2. 돼지고기를 얇게 편 형태로 자릅니다.
3. 대파, 마늘, 생강을 다져서 양념장을 만듭니다.
4. 돼지고기에 양념장을 골고루 발라줍니다.
5. 팬이나 그릴에 식용유를 두르고 중간 불에서 돼지고기를 구웁니다.
6. 한 면이 익으면 반대 면도 같은 방식으로 구웁니다.
7. 수육이 완전히 익었다면 식혀줍니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/수육/main.jpeg
스테이크구이,양식,소고기,"1. 팬을 중간 불로 예열합니다.
2. 스테이크에 소금과 후추를 골고루 뿌립니다.
3. 식용유를 팬에 두르고 스테이크를 넣어 한쪽 면을 2~3분 동안 구웁니다.
4. 스테이크를 뒤집어 다른 면도 2~3분 동안 구웁니다.
5. 원하는 익도에 따라 추가로 구워줍니다 (레어: 1-2분, 미디엄: 3-4분, 웰던: 5-6분).
6. 알루미늄 호일에 싸서 5분 정도 쉬게 합니다 (레스트 타임).",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/스테이크구이/main.jpeg
찹스테이크,양식,소고기,"1. 소고기 다진 고기에 양파, 마늘, 소금, 후추를 넣고 잘 섞습니다.
2. 섞은 고기를 원하는 크기로 떼어내어 동그랗게 모양을 만듭니다.
3. 팬을 중간 불로 예열하고 식용유를 두릅니다.
4. 팬에 찹스테이크를 넣고 한쪽 면을 3~4분 동안 구웁니다.
5. 찹스테이크를 뒤집어 다른 면도 3~4분 동안 구웁니다.
6. 원하는 익도에 따라 추가로 구워줍니다 (레어: 1-2분, 미디엄: 3-4분, 웰던: 5-6분).
7. 알루미늄 호일에 싸서 5분 정도 쉬게 합니다 (레스트 타임).",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/찹스테이크/main.jpeg
갈비찜,한식,갈비살,"1. 갈비에 물, 간장, 설탕, 다진 파, 다진 마늘을 넣고 재료를 골고루 섞어줍니다.
2. 중간 불로 예열한 냄비에 갈비와 함께 재료를 옮겨 넣습니다.
3. 냄비에 충분한 양의 물을 부어서 갈비가 잠길 정도로 만듭니다.
4. 대략 1시간 동안 약불에서 갈비가 푹 익을 때까지 찜해줍니다.
5. 익은 갈비를 꺼내고 양파와 당근 등 추가적인 야채를 넣어 함께 찜해줍니다.
6. 약불에서 야채가 익을 때까지 15~20분 정도 더 찜해줍니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/갈비찜/main.jpeg
돼지갈비,한식,돼지고기,"1. 돼지갈비에 간장, 설탕, 다진 파, 다진 마늘을 넣고 재료를 골고루 섞어줍니다.
2. 중간 불로 예열한 팬에 돼지갈비를 넣고 한쪽 면을 3~4분 동안 구웁니다.
3. 갈비를 뒤집어서 다른 면도 3~4분 동안 구웁니다.
4. 원하는 익도에 따라 추가로 구워줍니다 (레어: 1-2분, 미디엄: 3-4분, 웰던: 5-6분).
5. 갈비가 완전히 익었다면 알루미늄 호일에 싸서 잠시 쉬게 합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/돼지갈비/main.jpeg
LA갈비,양식,돼지고기,"1. LA갈비에 간장, 설탕, 다진 파, 다진 마늘을 넣고 재료를 골고루 섞어줍니다.
2. 중간 불로 예열한 그릴이나 팬에 LA갈비를 넣고 한쪽 면을 3~4분 동안 구웁니다.
3. 갈비를 뒤집어서 다른 면도 3~4분 동안 구웁니다.
4. 원하는 익도에 따라 추가로 구워줍니다 (레어: 1-2분, 미디엄: 3-4분, 웰던: 5-6분).
5. 완전히 익은 후 알루미늄 호일에 싸서 잠시 쉬게 합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/LA갈비/main.jpeg
바베큐,양식,돼지고기,"1. 바베큐를 할 고기(소고기, 돼지고기, 닭고기 등)에 소금과 후추를 뿌려 양념합니다.
2. 바베큐 그릴을 중간 불로 예열합니다.
3. 그릴에 고기를 올려 한쪽 면을 3~4분 동안 구웁니다.
4. 고기를 뒤집어서 다른 면도 3~4분 동안 구웁니다.
5. 원하는 익도에 따라 추가로 구워줍니다 (레어: 1-2분, 미디엄: 3-4분, 웰던: 5-6분).
6. 완전히 익은 후 알루미늄 호일에 싸서 잠시 쉬게 합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/바베큐/main.jpeg
김치등갈비찜,한식,"김치, 갈비살","1. 먼저 등갈비는 깨끗이 씻어서 물에 30분 정도 담가두어 피를 뺍니다.
2. 간장, 설탕, 다진 마늘, 참기름 등으로 만든 양념을 등갈비에 골고루 발라줍니다.
3. 중간 불로 예열한 냄비에 양념한 등갈비를 넣습니다.
4. 그 위에 김치와 양파, 대파를 올려줍니다.
5. 충분한 양의 물을 부어서 재료가 잠길 정도로 만듭니다.
6. 대략 1시간 동안 약불에서 갈비와 김치가 푹 익을 때까지 찜해줍니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/김치등갈비찜/main.jpeg
묵은지돼지갈비찜,한식,"김치, 갈비살","1. 돼지갈비는 물에 30분 정도 담가두어 피를 뺀 후, 간장, 설탕, 다진 마늘, 참기름 등으로 만든 양념을 골고루 발라줍니다.
2. 중간 불로 예열한 냄비에 양념한 돼지갈비를 넣습니다.
3. 그 위에 묵은지와 양파, 대파를 올려줍니다.
4. 충분한 양의 물을 부어서 재료가 잠길 정도로 만듭니다.
5. 대략 1시간 동안 약불에서 갈비와 김치가 푹 익을 때까지 찜해줍니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/묵은지돼지갈비찜/main.jpeg
매운쪽갈비찜,한식,갈비살,"1. 쪽갈비는 물에 30분 정도 담가두어 피를 뺀 후, 간장, 고춧가루, 설탕, 다진 마늘, 참기름 등으로 만든 매운 양념을 골고루 발라줍니다.
2. 중간 불로 예열한 냄비에 양념한 쪽갈비를 넣습니다.
3. 그 위에 양파와 대파를 올려줍니다.
4. 충분한 양의 물을 부어서 재료가 잠길 정도로 만듭니다.
5. 대략 1시간 동안 약불에서 갈비가 푹 익을 때까지 찜해줍니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/매운쪽갈비찜/main.jpeg
폭립,양식,돼지고기,"1. 폭립은 물에 30분 정도 담가두어 피를 뺀 후, 간장, 설탕, 다진 마늘, 참기름 등으로 만든 양념을 골고루 발라줍니다.
2. 양념한 폭립을 냉장고에서 1시간 이상 재워줍니다.
3. 중간 불로 예열한 오븐이나 그릴에 폭립을 올려 한쪽 면을 15분 동안 구웁니다.
4. 폭립을 뒤집어서 다른 면도 15분 동안 구웁니다.
5. 추가적으로 바베큐 소스를 발라주면서 원하는 익힘 정도까지 약 10~15분 동안 추가로 구워줍니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/폭립/main.jpeg
제육볶음,한식,돼지고기,"1. 돼지고기를 적당한 크기로 자르고 양념장(간장, 고추장, 고춧가루, 설탕 등)에 30분간 재워둡니다.
2. 팬에 기름을 두르고 마늘과 양파를 볶은 후 재운 돼지고기를 넣어 볶습니다.
3. 중간에 물을 적당량 넣어준 후 약불에서 10분 정도 더 볶습니다.
4. 마지막으로 파와 청양고추를 넣어 잠시 볶아 완성합다.
5. 그릇에 담아낸다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/제육볶음/main.jpeg
